,Organism group,ID,Create date,Isolation type,Location,Isolation source,Laboratory typing platform,Testing standard
2420,escherichia_coli,ID_23891765,2022-06-23T01:21:16Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2395,escherichia_coli,ID_23891265,2022-06-23T01:18:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
737,escherichia_coli,ID_32336695,2024-02-07T00:17:26Z,clinical,USA:Boston,urine,Vitek,CLSI
609,escherichia_coli,ID_15671805,2020-11-24T00:20:06Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
6,escherichia_coli,ID_522385,2014-01-23T13:28:10Z,clinical,"USA: Boston, MA",BLOOD CULTURE,,
248,escherichia_coli,ID_25830615,2022-10-24T23:48:55Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2121,escherichia_coli,ID_23883705,2022-06-23T00:20:28Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2580,escherichia_coli,ID_24165705,2022-07-06T07:07:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2547,escherichia_coli,ID_24164685,2022-07-06T07:03:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1077,escherichia_coli,ID_23859705,2022-06-22T16:56:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
110,escherichia_coli,ID_25827195,2022-10-24T23:22:02Z,environmental/other,Netherlands,retail duck,Sensititre,EUCAST
1014,escherichia_coli,ID_23858445,2022-06-22T16:48:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1946,escherichia_coli,ID_23880125,2022-06-22T23:48:41Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2279,escherichia_coli,ID_23886965,2022-06-23T00:46:17Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2748,escherichia_coli,ID_25784295,2022-10-21T15:02:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2586,escherichia_coli,ID_24165825,2022-07-06T07:08:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1169,escherichia_coli,ID_23861585,2022-06-22T17:10:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
68,escherichia_coli,ID_12507835,2016-12-20T12:28:26Z,clinical,USA:Boston,urine,Vitek,CLSI
1764,escherichia_coli,ID_23876455,2022-06-22T23:18:48Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
346,escherichia_coli,ID_25833085,2022-10-25T00:06:31Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2095,escherichia_coli,ID_23883185,2022-06-23T00:16:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1483,escherichia_coli,ID_23869305,2022-06-22T18:22:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
278,escherichia_coli,ID_25831375,2022-10-24T23:54:11Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
988,escherichia_coli,ID_23857925,2022-06-22T16:44:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2381,escherichia_coli,ID_23890965,2022-06-23T01:16:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2990,escherichia_coli,ID_12707205,2016-04-12T18:10:24Z,clinical,USA:Boston,blood,Vitek,CLSI
2811,escherichia_coli,ID_25786065,2022-10-21T15:34:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1080,escherichia_coli,ID_23859755,2022-06-22T16:57:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1060,escherichia_coli,ID_23859365,2022-06-22T16:54:03Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2344,escherichia_coli,ID_23890105,2022-06-23T01:07:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2597,escherichia_coli,ID_24166045,2022-07-06T07:09:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2855,escherichia_coli,ID_25786975,2022-10-21T15:56:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
848,escherichia_coli,ID_32328745,2024-02-07T06:05:26Z,clinical,USA:Boston,urine,Vitek,CLSI
721,escherichia_coli,ID_32337955,2024-02-18T03:07:26Z,clinical,USA:Boston,urine,Vitek,CLSI
1196,escherichia_coli,ID_23862165,2022-06-22T17:14:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1118,escherichia_coli,ID_23860565,2022-06-22T17:02:52Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1759,escherichia_coli,ID_23876365,2022-06-22T23:18:28Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
105,escherichia_coli,ID_25827075,2022-10-24T23:21:10Z,environmental/other,Netherlands,retail pork,Sensititre,EUCAST
3016,escherichia_coli,ID_2787215,2017-11-20T14:22:10Z,clinical,,,,CLSI
336,escherichia_coli,ID_25832795,2022-10-25T00:05:11Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2897,escherichia_coli,ID_25788375,2022-10-21T16:18:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2221,escherichia_coli,ID_23885795,2022-06-23T00:37:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2184,escherichia_coli,ID_23885035,2022-06-23T00:32:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1758,escherichia_coli,ID_23876345,2022-06-22T23:18:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
552,escherichia_coli,ID_4567715,2019-07-12T10:50:39Z,clinical,"USA: Rochester, NY",urine,,CLSI
1209,escherichia_coli,ID_23862425,2022-06-22T17:15:40Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
964,escherichia_coli,ID_23857425,2022-06-22T16:41:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1599,escherichia_coli,ID_23871585,2022-06-22T18:41:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1444,escherichia_coli,ID_23868495,2022-06-22T18:14:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2,escherichia_coli,ID_49383565,2025-04-09T05:06:33Z,environmental/other,Brazil: Curitiba,Hospital effluent,,EUCAST
1965,escherichia_coli,ID_23880485,2022-06-22T23:51:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1978,escherichia_coli,ID_23880765,2022-06-22T23:52:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
49,escherichia_coli,ID_12741095,2016-01-13T19:22:10Z,clinical,USA:Boston,urine,Vitek,CLSI
2295,escherichia_coli,ID_23887305,2022-06-23T00:48:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2289,escherichia_coli,ID_23887185,2022-06-23T00:47:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1154,escherichia_coli,ID_23861285,2022-06-22T17:07:32Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2023,escherichia_coli,ID_23881665,2022-06-23T00:05:02Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2980,escherichia_coli,ID_12774905,2015-12-01T18:21:06Z,clinical,USA:Boston,blood,Vitek,CLSI
2204,escherichia_coli,ID_23885465,2022-06-23T00:34:59Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1502,escherichia_coli,ID_23869675,2022-06-22T18:25:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
586,escherichia_coli,ID_4566915,2019-07-12T10:50:52Z,clinical,"USA: Rochester, NY",urine,,CLSI
2593,escherichia_coli,ID_24165965,2022-07-06T07:08:52Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
301,escherichia_coli,ID_25831935,2022-10-24T23:58:59Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
622,escherichia_coli,ID_15672055,2020-11-24T00:24:09Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1918,escherichia_coli,ID_23879565,2022-06-22T23:43:57Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1470,escherichia_coli,ID_23869035,2022-06-22T18:19:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1903,escherichia_coli,ID_23879265,2022-06-22T23:42:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1588,escherichia_coli,ID_23871405,2022-06-22T18:40:44Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
164,escherichia_coli,ID_25828535,2022-10-24T23:33:11Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
1719,escherichia_coli,ID_23875565,2022-06-22T23:09:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2628,escherichia_coli,ID_25579565,2022-10-17T15:25:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
286,escherichia_coli,ID_25831595,2022-10-24T23:56:19Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1089,escherichia_coli,ID_23859985,2022-06-22T16:59:13Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2809,escherichia_coli,ID_25786025,2022-10-21T15:33:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
97,escherichia_coli,ID_12915125,2020-04-20T16:16:44Z,clinical,USA:Cincinnati,urine,,CLSI
168,escherichia_coli,ID_25828595,2022-10-24T23:34:02Z,environmental/other,Netherlands,retail veal,Sensititre,EUCAST
26,escherichia_coli,ID_26420945,2022-11-27T23:14:28Z,clinical,Greece,blood,Vitek,EUCAST
1267,escherichia_coli,ID_23863585,2022-06-22T17:24:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3,escherichia_coli,ID_492235,2013-10-30T15:20:00Z,,,,,
2086,escherichia_coli,ID_23883005,2022-06-23T00:14:07Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1097,escherichia_coli,ID_23860145,2022-06-22T17:00:01Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2018,escherichia_coli,ID_23881565,2022-06-23T00:04:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2588,escherichia_coli,ID_24165865,2022-07-06T07:08:24Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2985,escherichia_coli,ID_12777175,2015-11-10T21:17:47Z,clinical,USA:Boston,blood,Vitek,CLSI
2545,escherichia_coli,ID_24164565,2022-07-06T07:02:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1224,escherichia_coli,ID_23862725,2022-06-22T17:18:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1686,escherichia_coli,ID_23874905,2022-06-22T23:05:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
108,escherichia_coli,ID_25827125,2022-10-24T23:21:28Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
319,escherichia_coli,ID_25832435,2022-10-25T00:02:18Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1422,escherichia_coli,ID_23868045,2022-06-22T18:10:24Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
627,escherichia_coli,ID_15672135,2020-11-24T00:25:30Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1605,escherichia_coli,ID_23871735,2022-06-22T18:43:04Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1702,escherichia_coli,ID_23875225,2022-06-22T23:08:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3000,escherichia_coli,ID_18094305,2016-07-25T12:20:08Z,clinical,USA:Boston,blood,Vitek,CLSI
488,escherichia_coli,ID_12442905,2017-07-05T18:42:06Z,clinical,USA:Boston,urine,Vitek,CLSI
2589,escherichia_coli,ID_24165885,2022-07-06T07:08:31Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2784,escherichia_coli,ID_25785525,2022-10-21T15:20:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
520,escherichia_coli,ID_4567895,2019-07-12T08:46:55Z,clinical,"USA: Rochester, NY",urine,,CLSI
2562,escherichia_coli,ID_24165165,2022-07-06T07:04:57Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
810,escherichia_coli,ID_32330615,2024-02-06T18:05:26Z,clinical,USA:Boston,urine,Vitek,CLSI
1300,escherichia_coli,ID_23865495,2022-06-22T17:40:13Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1294,escherichia_coli,ID_23865355,2022-06-22T17:39:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1262,escherichia_coli,ID_23863485,2022-06-22T17:23:48Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1488,escherichia_coli,ID_23869405,2022-06-22T18:22:59Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2379,escherichia_coli,ID_23890945,2022-06-23T01:16:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2200,escherichia_coli,ID_23885385,2022-06-23T00:34:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1201,escherichia_coli,ID_23862265,2022-06-22T17:14:52Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
1486,escherichia_coli,ID_23869365,2022-06-22T18:22:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
814,escherichia_coli,ID_31776175,2024-02-18T23:57:01Z,clinical,USA:Boston,urine,Vitek,CLSI
2517,escherichia_coli,ID_23895395,2022-06-23T03:17:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1525,escherichia_coli,ID_23870145,2022-06-22T18:30:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2382,escherichia_coli,ID_23890985,2022-06-23T01:16:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
82,escherichia_coli,ID_12432755,2017-08-07T14:40:33Z,clinical,USA:Boston,abdominal,Vitek,CLSI
2721,escherichia_coli,ID_25783715,2022-10-21T14:48:13Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2568,escherichia_coli,ID_24165425,2022-07-06T07:05:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1808,escherichia_coli,ID_23877345,2022-06-22T23:25:05Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
445,escherichia_coli,ID_32122895,2024-02-07T14:04:05Z,clinical,USA:Boston,sputum,Vitek,CLSI
853,escherichia_coli,ID_32328155,2024-02-07T06:05:26Z,clinical,USA:Boston,urine,Vitek,CLSI
1347,escherichia_coli,ID_23866535,2022-06-22T17:53:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
550,escherichia_coli,ID_4568205,2019-07-12T10:50:38Z,clinical,"USA: Rochester, NY",urine,,CLSI
2452,escherichia_coli,ID_23892405,2022-06-23T01:26:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1068,escherichia_coli,ID_23859525,2022-06-22T16:56:06Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
136,escherichia_coli,ID_25827915,2022-10-24T23:28:11Z,environmental/other,Netherlands,retail veal,Sensititre,EUCAST
2126,escherichia_coli,ID_23883825,2022-06-23T00:21:02Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
29,escherichia_coli,ID_26421045,2022-11-27T23:15:19Z,clinical,Greece,blood,Vitek,EUCAST
2969,escherichia_coli,ID_25789835,2022-10-21T16:58:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1280,escherichia_coli,ID_23863845,2022-06-22T17:26:10Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
825,escherichia_coli,ID_32329975,2024-02-04T17:04:58Z,clinical,USA:Boston,urine,Vitek,CLSI
2386,escherichia_coli,ID_23891085,2022-06-23T01:17:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2366,escherichia_coli,ID_23890545,2022-06-23T01:10:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
717,escherichia_coli,ID_32338235,2024-02-06T14:06:48Z,clinical,USA:Boston,urine,Vitek,CLSI
1452,escherichia_coli,ID_23868655,2022-06-22T18:15:28Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2679,escherichia_coli,ID_25581045,2022-10-17T15:31:41Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2975,escherichia_coli,ID_32865675,2023-06-07T06:25:16Z,clinical,USA,urine,,CLSI
1123,escherichia_coli,ID_23860665,2022-06-22T17:03:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
654,escherichia_coli,ID_15673315,2020-11-24T00:47:07Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
558,escherichia_coli,ID_4566715,2019-07-12T10:50:41Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
1207,escherichia_coli,ID_23862385,2022-06-22T17:15:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
888,escherichia_coli,ID_34516655,2023-12-20T07:53:39Z,clinical,USA:Boston,urine,Vitek,CLSI
2432,escherichia_coli,ID_23892005,2022-06-23T01:23:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1991,escherichia_coli,ID_23881025,2022-06-23T00:01:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
89,escherichia_coli,ID_4566895,2019-07-12T10:50:50Z,clinical,"USA: Rochester, NY",urine,,CLSI
932,escherichia_coli,ID_19903585,2021-09-08T11:32:23Z,clinical,USA: Minnesota,blood culture,,CLSI
2227,escherichia_coli,ID_23885925,2022-06-23T00:38:24Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2484,escherichia_coli,ID_23894665,2022-06-23T03:05:31Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1469,escherichia_coli,ID_23869015,2022-06-22T18:19:32Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
77,escherichia_coli,ID_12480075,2017-04-13T20:40:11Z,clinical,USA:Boston,blood,Vitek,CLSI
1515,escherichia_coli,ID_23869945,2022-06-22T18:28:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2109,escherichia_coli,ID_23883465,2022-06-23T00:18:11Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
1413,escherichia_coli,ID_23867845,2022-06-22T18:08:18Z,clinical,USA: District of Columbia,Perirectal,Phoenix,CLSI
2698,escherichia_coli,ID_25783235,2022-10-21T14:36:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1738,escherichia_coli,ID_23875945,2022-06-22T23:12:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2025,escherichia_coli,ID_23881705,2022-06-23T00:06:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2979,escherichia_coli,ID_12774995,2015-12-01T18:21:06Z,clinical,USA:Boston,blood,Vitek,CLSI
2142,escherichia_coli,ID_23884145,2022-06-23T00:23:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
67,escherichia_coli,ID_25179005,2016-12-20T12:28:25Z,clinical,USA:Boston,urine,Vitek,CLSI
2645,escherichia_coli,ID_25580265,2022-10-17T16:50:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1607,escherichia_coli,ID_23871785,2022-06-22T18:43:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1217,escherichia_coli,ID_23862585,2022-06-22T17:17:21Z,clinical,USA: District of Columbia,Fluid,Phoenix,CLSI
3014,escherichia_coli,ID_2201835,2017-06-20T13:51:17Z,clinical,,,,CLSI
1371,escherichia_coli,ID_23867015,2022-06-22T17:58:06Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
88,escherichia_coli,ID_4566955,2019-07-12T10:50:38Z,clinical,"USA: Rochester, NY",urine,,CLSI
2010,escherichia_coli,ID_23881395,2022-06-23T00:03:41Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
131,escherichia_coli,ID_25827745,2022-10-24T23:27:16Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
829,escherichia_coli,ID_32329855,2024-02-17T00:09:37Z,clinical,USA:Boston,urine,Vitek,CLSI
747,escherichia_coli,ID_32335875,2024-02-07T08:06:36Z,clinical,USA:Boston,urine,Vitek,CLSI
2479,escherichia_coli,ID_23894565,2022-06-23T03:04:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
157,escherichia_coli,ID_25828395,2022-10-24T23:32:04Z,environmental/other,Netherlands,retail veal,Sensititre,EUCAST
14,escherichia_coli,ID_692495,2014-05-19T17:28:50Z,clinical,USA: Boston,urine,,
2207,escherichia_coli,ID_23885515,2022-06-23T00:35:24Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
766,escherichia_coli,ID_32333375,2024-02-07T02:09:44Z,clinical,USA:Boston,urine,Vitek,CLSI
190,escherichia_coli,ID_25829055,2022-10-24T23:38:10Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
2532,escherichia_coli,ID_23895695,2022-06-23T03:20:08Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
2092,escherichia_coli,ID_23883105,2022-06-23T00:16:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
138,escherichia_coli,ID_25827955,2022-10-24T23:28:27Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
2785,escherichia_coli,ID_25785545,2022-10-21T15:21:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1289,escherichia_coli,ID_23864025,2022-06-22T17:27:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
300,escherichia_coli,ID_25831915,2022-10-24T23:58:51Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
650,escherichia_coli,ID_15673165,2020-11-24T00:45:06Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1496,escherichia_coli,ID_23869565,2022-06-22T18:24:32Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1058,escherichia_coli,ID_23859325,2022-06-22T16:53:51Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
1835,escherichia_coli,ID_23877865,2022-06-22T23:32:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2747,escherichia_coli,ID_25784275,2022-10-21T15:01:21Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
565,escherichia_coli,ID_4566965,2019-07-12T10:50:43Z,clinical,"USA: Rochester, NY",urine,,CLSI
568,escherichia_coli,ID_4566555,2019-07-12T10:50:44Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
1387,escherichia_coli,ID_23867335,2022-06-22T18:04:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1659,escherichia_coli,ID_23872835,2022-06-22T18:52:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1348,escherichia_coli,ID_23866555,2022-06-22T17:53:50Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
1867,escherichia_coli,ID_23878545,2022-06-22T23:36:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1828,escherichia_coli,ID_23877745,2022-06-22T23:27:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2285,escherichia_coli,ID_23887105,2022-06-23T00:47:06Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
672,escherichia_coli,ID_15674125,2020-11-24T00:59:26Z,environmental/other,Canada: Quebec,manure,Sensititer,CLSI
33,escherichia_coli,ID_692635,2014-05-19T17:33:50Z,clinical,USA: Boston,BLOOD CULTURE,,
2507,escherichia_coli,ID_23895195,2022-06-23T03:16:44Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
20,escherichia_coli,ID_692615,2014-05-19T17:33:08Z,clinical,USA: Boston,urine,,
1216,escherichia_coli,ID_23862565,2022-06-22T17:17:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1788,escherichia_coli,ID_23876945,2022-06-22T23:23:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
276,escherichia_coli,ID_25831295,2022-10-24T23:53:39Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1492,escherichia_coli,ID_23869485,2022-06-22T18:23:47Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2120,escherichia_coli,ID_23883695,2022-06-23T00:20:24Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
620,escherichia_coli,ID_15671995,2020-11-24T00:23:21Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
926,escherichia_coli,ID_3288415,2018-07-05T07:52:21Z,clinical,,,,CLSI
827,escherichia_coli,ID_32329915,2024-02-07T12:09:25Z,clinical,USA:Boston,urine,Vitek,CLSI
2751,escherichia_coli,ID_25784355,2022-10-21T15:03:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2038,escherichia_coli,ID_23881955,2022-06-23T00:07:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1852,escherichia_coli,ID_23878225,2022-06-22T23:34:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1095,escherichia_coli,ID_23860105,2022-06-22T16:59:41Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2846,escherichia_coli,ID_25786775,2022-10-21T15:51:32Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
350,escherichia_coli,ID_25833175,2022-10-25T00:07:15Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2225,escherichia_coli,ID_23885875,2022-06-23T00:38:16Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1609,escherichia_coli,ID_23871825,2022-06-22T18:43:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3017,escherichia_coli,ID_2787315,2017-11-20T14:26:04Z,clinical,,,,CLSI
174,escherichia_coli,ID_25828735,2022-10-24T23:34:48Z,environmental/other,Netherlands,retail deer,Sensititre,EUCAST
2585,escherichia_coli,ID_24165805,2022-07-06T07:08:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
616,escherichia_coli,ID_15671915,2020-11-24T00:22:17Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
113,escherichia_coli,ID_25827255,2022-10-24T23:23:27Z,environmental/other,Netherlands,retail pork,Sensititre,EUCAST
1718,escherichia_coli,ID_23875545,2022-06-22T23:09:44Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2122,escherichia_coli,ID_23883715,2022-06-23T00:20:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2171,escherichia_coli,ID_23884765,2022-06-23T00:28:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2190,escherichia_coli,ID_23885165,2022-06-23T00:33:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2842,escherichia_coli,ID_25786685,2022-10-21T15:49:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
236,escherichia_coli,ID_25830355,2022-10-24T23:47:01Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1192,escherichia_coli,ID_23862085,2022-06-22T17:14:01Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2674,escherichia_coli,ID_25580945,2022-10-17T15:00:23Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1292,escherichia_coli,ID_23865315,2022-06-22T17:38:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
347,escherichia_coli,ID_25833105,2022-10-25T00:06:36Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1990,escherichia_coli,ID_23881005,2022-06-22T23:54:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2694,escherichia_coli,ID_25783155,2022-10-21T14:34:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1417,escherichia_coli,ID_23867935,2022-06-22T18:09:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2052,escherichia_coli,ID_23882225,2022-06-23T00:09:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1426,escherichia_coli,ID_23868135,2022-06-22T18:10:56Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
329,escherichia_coli,ID_25832635,2022-10-25T00:04:11Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
201,escherichia_coli,ID_25829315,2022-10-24T23:39:12Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
